周数,学习重点,目标小时,实际小时,代码提交数,笔记篇数,主要产出,是否完成,最大阻塞,下一步行动
1,"AI 认知、Python 复盘、开发环境",25,,,,"PDF 路线：AI 认知和 Python 基础已完成；Python/Git/编辑器/Jupyter 已确认；第 1 周练习目录已建立","部分完成","","确认 30 道 Python 练习是否需要补做；固定每周学习时间块"
2,"NumPy、Pandas、文本数据 EDA",25,,,,"NumPy/Pandas 推荐视频已完成；下一步阅读《利用Python进行数据分析》","进行中","","阅读书籍相关章节并产出 EDA notebook、数据清洗脚本、数据质量报告"
3,"数学核心：线代、概率、微积分",25,,,,,"未开始","","完成 Week 2 数据分析产出后进入"
4,"传统机器学习与 sklearn",25,,,,,"未开始","","后续用 sklearn 完成分类项目"
5,"PyTorch 基础",25,,,,,"未开始","",""
6,"深度学习训练技巧",25,,,,,"未开始","",""
7,"NLP 基础",25,,,,,"未开始","",""
8,"Transformer",25,,,,,"未开始","",""
9,"Hugging Face 微调",25,,,,,"未开始","",""
10,"RAG 基础",25,,,,,"未开始","",""
11,"LoRA/QLoRA 微调",25,,,,,"未开始","",""
12,"LLM 评测",25,,,,,"未开始","",""
13,"论文阅读",25,,,,,"未开始","",""
14,"论文或开源项目复现",25,,,,,"未开始","",""
15,"作品集整合",25,,,,,"未开始","",""
16,"简历与面试",25,,,,,"未开始","",""
